season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,hour,day,month,year
1,0,0,1,9.84,14.395,81,0.0,16,0,5,1,0
1,0,0,1,9.02,13.635,80,0.0,40,1,5,1,0
1,0,0,1,9.02,13.635,80,0.0,32,2,5,1,0
1,0,0,1,9.84,14.395,75,0.0,13,3,5,1,0
1,0,0,1,9.84,14.395,75,0.0,1,4,5,1,0
1,0,0,2,9.84,12.88,75,6.0032,1,5,5,1,0
1,0,0,1,9.02,13.635,80,0.0,2,6,5,1,0
1,0,0,1,8.2,12.88,86,0.0,3,7,5,1,0
1,0,0,1,9.84,14.395,75,0.0,8,8,5,1,0
1,0,0,1,13.12,17.425,76,0.0,14,9,5,1,0
1,0,0,1,15.58,19.695,76,16.9979,36,10,5,1,0
1,0,0,1,14.76,16.665,81,19.0012,56,11,5,1,0
1,0,0,1,17.22,21.21,77,19.0012,84,12,5,1,0
1,0,0,2,18.86,22.725,72,19.9995,94,13,5,1,0
1,0,0,2,18.86,22.725,72,19.0012,106,14,5,1,0
1,0,0,2,18.04,21.97,77,19.9995,110,15,5,1,0
1,0,0,2,17.22,21.21,82,19.9995,93,16,5,1,0
1,0,0,2,18.04,21.97,82,19.0012,67,17,5,1,0
1,0,0,3,17.22,21.21,88,16.9979,35,18,5,1,0
1,0,0,3,17.22,21.21,88,16.9979,37,19,5,1,0
1,0,0,2,16.4,20.455,87,16.9979,36,20,5,1,0
1,0,0,2,16.4,20.455,87,12.998,34,21,5,1,0
1,0,0,2,16.4,20.455,94,15.0013,28,22,5,1,0
1,0,0,2,18.86,22.725,88,19.9995,39,23,5,1,0
1,0,0,2,18.86,22.725,88,19.9995,17,0,6,1,0
1,0,0,2,18.04,21.97,94,16.9979,17,1,6,1,0
1,0,0,2,17.22,21.21,100,19.0012,9,2,6,1,0
1,0,0,2,18.86,22.725,94,12.998,6,3,6,1,0
1,0,0,2,18.86,22.725,94,12.998,3,4,6,1,0
1,0,0,3,17.22,21.21,77,19.9995,2,6,6,1,0
1,0,0,2,16.4,20.455,76,12.998,1,7,6,1,0
1,0,0,3,16.4,20.455,71,15.0013,8,8,6,1,0
1,0,0,2,15.58,19.695,76,15.0013,20,9,6,1,0
1,0,0,2,14.76,17.425,81,15.0013,53,10,6,1,0
1,0,0,2,14.76,16.665,71,16.9979,70,11,6,1,0
1,0,0,2,14.76,16.665,66,19.9995,93,12,6,1,0
1,0,0,2,14.76,17.425,66,8.9981,75,13,6,1,0
1,0,0,3,14.76,17.425,76,12.998,59,14,6,1,0
1,0,0,3,13.94,16.665,81,11.0014,74,15,6,1,0
1,0,0,3,13.94,16.665,71,11.0014,76,16,6,1,0
1,0,0,1,13.94,16.665,57,12.998,65,17,6,1,0
1,0,0,2,14.76,16.665,46,22.0028,53,18,6,1,0
1,0,0,1,13.12,14.395,42,30.0026,30,19,6,1,0
1,0,0,1,12.3,13.635,39,23.9994,22,20,6,1,0
1,0,0,1,10.66,11.365,44,22.0028,31,21,6,1,0
1,0,0,1,9.84,10.605,44,19.9995,9,22,6,1,0
1,0,0,1,9.02,11.365,47,11.0014,8,23,6,1,0
1,0,1,1,9.02,9.85,44,23.9994,5,0,0,1,0
